mol_id,rxn_smiles_with_solvent,solvent,precipitate
B5,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H2:17]-[#6H2:18]-1)-[#6H3:16].[#6H:19](=[#8])-[#6H:27]1-[#6H2:28]-[#6H2:29]-[#6:30](=[#6H:32]-[#6H:33]-1-[#6H3:34])-[#6H3:31].[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H3:16])-[#6H2:17]-[#6H2:18]-1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6H:27]1-[#6H2:28]-[#6H2:29]-[#6:30](-[#6H3:31])=[#6H:32]-[#6H:33]-1-[#6H3:34],FC(F)(CO)F,0
B6,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H2:17]-[#6H2:18]-1)-[#6H3:16].[#6H:19](=[#8])-[#6H:27]1-[#6H2:28]-[#6H:29]2-[#6H2:33]-[#6H:32]-1-[#6H:31]=[#6H:30]-2.[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6H:9]:[#6H:10]:[#6:11]:1-[#7:12]1-[#6H2:13]-[#6H2:14]-[#7:15](-[#6H3:16])-[#6H2:17]-[#6H2:18]-1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6H:27]1-[#6H2:28]-[#6H:29]2-[#6H:30]=[#6H:31]-[#6H:32]-1-[#6H2:33]-2,FC(F)(CO)F,0
C1,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6:9](:[#6H:17]:[#6H:18]:1)-[#6H2:10]-[#6:11]1:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:1.[#6H:19](=[#8])-[#6:27]1:[#6H:28]:[#6H:29]:[#7:30](:[#7:32]:1)-[#6H3:31].[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:2):[#6H:17]:[#6H:18]:1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6:27]1:[#6H:28]:[#6H:29]:[#7:30](-[#6H3:31]):[#7:32]:1,FC(F)(CO)F,1
C2,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6:9](:[#6H:17]:[#6H:18]:1)-[#6H2:10]-[#6:11]1:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:1.[#6H:19](=[#8])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](:[#6H:38]:[#6H:39]:1)-[#8:31]-[#6H:32]1-[#6H2:33]-[#6H2:34]-[#6H2:35]-[#6H2:36]-[#8:37]-1.[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:2):[#6H:17]:[#6H:18]:1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](-[#8:31]-[#6H:32]2-[#6H2:33]-[#6H2:34]-[#6H2:35]-[#6H2:36]-[#8:37]-2):[#6H:38]:[#6H:39]:1,FC(F)(CO)F,1
C3,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6:9](:[#6H:17]:[#6H:18]:1)-[#6H2:10]-[#6:11]1:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:1.[#6H:19](=[#8])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](:[#6H:35]:[#6H:36]:1)-[#6H2:31]-[#6H:32](-[#6H3:33])-[#6H3:34].[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:2):[#6H:17]:[#6H:18]:1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](-[#6H2:31]-[#6H:32](-[#6H3:33])-[#6H3:34]):[#6H:35]:[#6H:36]:1,FC(F)(CO)F,0
C4,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6:9](:[#6H:17]:[#6H:18]:1)-[#6H2:10]-[#6:11]1:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:1.[#6H:19](=[#8])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](:[#6H:36]:[#6H:37]:1)-[#8:31]-[#6:32](-[#9:33])(-[#9:34])-[#9:35].[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:2):[#6H:17]:[#6H:18]:1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6:27]1:[#6H:28]:[#6H:29]:[#6:30](-[#8:31]-[#6:32](-[#9:33])(-[#9:34])-[#9:35]):[#6H:36]:[#6H:37]:1,FC(F)(CO)F,0
C5,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6:9](:[#6H:17]:[#6H:18]:1)-[#6H2:10]-[#6:11]1:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:1.[#6H:19](=[#8])-[#6H:27]1-[#6H2:28]-[#6H2:29]-[#6:30](=[#6H:32]-[#6H:33]-1-[#6H3:34])-[#6H3:31].[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:2):[#6H:17]:[#6H:18]:1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6H:27]1-[#6H2:28]-[#6H2:29]-[#6:30](-[#6H3:31])=[#6H:32]-[#6H:33]-1-[#6H3:34],FC(F)(CO)F,0
C6,[#6-:20]#[#7+:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26].[#7H2]-[#6]1:[#6H:7]:[#6H:8]:[#6:9](:[#6H:17]:[#6H:18]:1)-[#6H2:10]-[#6:11]1:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:1.[#6H:19](=[#8])-[#6H:27]1-[#6H2:28]-[#6H:29]2-[#6H2:33]-[#6H:32]-1-[#6H:31]=[#6H:30]-2.[#6:3](=[#8:4])(-[#8H:21])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6H:8]:[#6:9](-[#6H2:10]-[#6:11]2:[#6H:12]:[#6H:13]:[#6H:14]:[#6H:15]:[#6H:16]:2):[#6H:17]:[#6H:18]:1)-[#6H:19](-[#6:20](=[#8:21])-[#7H:22]-[#6:23](-[#6H3:24])(-[#6H3:25])-[#6H3:26])-[#6H:27]1-[#6H2:28]-[#6H:29]2-[#6H:30]=[#6H:31]-[#6H:32]-1-[#6H2:33]-2,FC(F)(CO)F,0
D1,[#6-:15]#[#7+:17]-[#6:18](-[#6H3:19])(-[#6H3:20])-[#6H3:21].[#7H2]-[#6]1:[#6H:7]:[#6:8](:[#7H:12]:[#7:13]:1)-[#6H:9]1-[#6H2:10]-[#6H2:11]-1.[#6H:14](=[#8])-[#6:22]1:[#6H:23]:[#6H:24]:[#7:25](:[#7:27]:1)-[#6H3:26].[#6:3](=[#8:4])(-[#8H:16])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6:8](-[#6H:9]2-[#6H2:10]-[#6H2:11]-2):[#7H:12]:[#7:13]:1)-[#6H:14](-[#6:15](=[#8:16])-[#7H:17]-[#6:18](-[#6H3:19])(-[#6H3:20])-[#6H3:21])-[#6:22]1:[#6H:23]:[#6H:24]:[#7:25](-[#6H3:26]):[#7:27]:1,FC(F)(CO)F,0
D2,[#6-:15]#[#7+:17]-[#6:18](-[#6H3:19])(-[#6H3:20])-[#6H3:21].[#7H2]-[#6]1:[#6H:7]:[#6:8](:[#7H:12]:[#7:13]:1)-[#6H:9]1-[#6H2:10]-[#6H2:11]-1.[#6H:14](=[#8])-[#6:22]1:[#6H:23]:[#6H:24]:[#6:25](:[#6H:33]:[#6H:34]:1)-[#8:26]-[#6H:27]1-[#6H2:28]-[#6H2:29]-[#6H2:30]-[#6H2:31]-[#8:32]-1.[#6:3](=[#8:4])(-[#8H:16])-[#6H:2]=[#6H2:1]>>[#6H2:1]=[#6H:2]-[#6:3](=[#8:4])-[#7:5](-[#6:6]1:[#6H:7]:[#6:8](-[#6H:9]2-[#6H2:10]-[#6H2:11]-2):[#7H:12]:[#7:13]:1)-[#6H:14](-[#6:15](=[#8:16])-[#7H:17]-[#6:18](-[#6H3:19])(-[#6H3:20])-[#6H3:21])-[#6:22]1:[#6H:23]:[#6H:24]:[#6:25](-[#8:26]-[#6H:27]2-[#6H2:28]-[#6H2:29]-[#6H2:30]-[#6H2:31]-[#8:32]-2):[#6H:33]:[#6H:34]:1,FC(F)(CO)F,0
