exp_id,rxn_smiles_with_solvent,solvent,precipitate
ac-17_al-11-ace_nc-1_am-8,[#6-:8]#[#7+:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14].[#7H2]-[#6H](-[#6H3:28])-[#6H3:29].[#6H:7](=[#8])-[#6:6]1:[#6H:5]:[#6H:4]:[#6:3](:[#6H:31]:[#6H:30]:1)-[#6:2]#[#6H:1].[#6:16](=[#8:17])(-[#8H:9])-[#6:18]1:[#6H:19]:[#7:20]2:[#6:25](:[#7:26]:1):[#6H:24]:[#7:23]:[#6H:22]:[#6H:21]:2>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6H:5]:[#6:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14])-[#7:15](-[#6:16](=[#8:17])-[#6:18]2:[#6H:19]:[#7:20]3:[#6H:21]:[#6H:22]:[#7:23]:[#6H:24]:[#6:25]:3:[#7:26]:2)-[#6H:27](-[#6H3:28])-[#6H3:29]):[#6H:30]:[#6H:31]:1,FC(F)(CO)F,1
ac-18_al-11-ace_nc-1_am-8,[#6-:8]#[#7+:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14].[#7H2]-[#6H](-[#6H3:26])-[#6H3:27].[#6H:7](=[#8])-[#6:6]1:[#6H:5]:[#6H:4]:[#6:3](:[#6H:29]:[#6H:28]:1)-[#6:2]#[#6H:1].[#6:16](=[#8:17])(-[#8H:9])-[#6:18]1:[#7:19]:[#6H:20]:[#6:21](:[#7:23]:[#6H:24]:1)-[#6H3:22]>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6H:5]:[#6:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14])-[#7:15](-[#6:16](=[#8:17])-[#6:18]2:[#7:19]:[#6H:20]:[#6:21](-[#6H3:22]):[#7:23]:[#6H:24]:2)-[#6H:25](-[#6H3:26])-[#6H3:27]):[#6H:28]:[#6H:29]:1,FC(F)(CO)F,1
ac-8-ace_al-6_nc-1_am-13,[#6-:21]#[#7+:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27].[#7H2]-[#6]1:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](:[#6H:19]:1)-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18].[#6H:20](=[#8])-[#6:28](-[#9:29])(-[#9:30])-[#9:31].[#6:6](=[#8:7])(-[#8H:22])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:34]:[#6H:33]:[#6H:32]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6:9]2:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18]):[#6H:19]:2)-[#6H:20](-[#6:21](=[#8:22])-[#7H:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27])-[#6:28](-[#9:29])(-[#9:30])-[#9:31]):[#6H:32]:[#6H:33]:[#6H:34]:1,FC(F)(CO)F,0
ac-8-ace_al-15_nc-1_am-13,[#6-:21]#[#7+:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27].[#7H2]-[#6]1:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](:[#6H:19]:1)-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18].[#6H:20](=[#8])-[#6:28]1:[#6H:29]:[#6H:30]:[#6H:31]:[#6H:32]:[#6:33]:1-[#8:34]-[#6:35](-[#9:36])(-[#9:37])-[#9:38].[#6:6](=[#8:7])(-[#8H:22])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:41]:[#6H:40]:[#6H:39]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6:9]2:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18]):[#6H:19]:2)-[#6H:20](-[#6:21](=[#8:22])-[#7H:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27])-[#6:28]2:[#6H:29]:[#6H:30]:[#6H:31]:[#6H:32]:[#6:33]:2-[#8:34]-[#6:35](-[#9:36])(-[#9:37])-[#9:38]):[#6H:39]:[#6H:40]:[#6H:41]:1,FC(F)(CO)F,1
ac-8-ace_al-16_nc-1_am-13,[#6-:21]#[#7+:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27].[#7H2]-[#6]1:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](:[#6H:19]:1)-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18].[#6H:20](=[#8])-[#6:28]1:[#6H:29]:[#6H:30]:[#6:31](:[#6H:34]:[#6H:35]:1)-[#6H2:32]-[#6H3:33].[#6:6](=[#8:7])(-[#8H:22])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:38]:[#6H:37]:[#6H:36]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6:9]2:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18]):[#6H:19]:2)-[#6H:20](-[#6:21](=[#8:22])-[#7H:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27])-[#6:28]2:[#6H:29]:[#6H:30]:[#6:31](-[#6H2:32]-[#6H3:33]):[#6H:34]:[#6H:35]:2):[#6H:36]:[#6H:37]:[#6H:38]:1,FC(F)(CO)F,1
ac-8-ace_al-17_nc-1_am-13,[#6-:21]#[#7+:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27].[#7H2]-[#6]1:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](:[#6H:19]:1)-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18].[#6H:20](=[#8])-[#6H:28](-[#6H3:29])-[#6H2:30]-[#6H3:31].[#6:6](=[#8:7])(-[#8H:22])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:34]:[#6H:33]:[#6H:32]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6:9]2:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18]):[#6H:19]:2)-[#6H:20](-[#6:21](=[#8:22])-[#7H:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27])-[#6H:28](-[#6H3:29])-[#6H2:30]-[#6H3:31]):[#6H:32]:[#6H:33]:[#6H:34]:1,FC(F)(CO)F,1
ac-8-ace_al-18_nc-1_am-13,[#6-:21]#[#7+:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27].[#7H2]-[#6]1:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](:[#6H:19]:1)-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18].[#6H:20](=[#8])-[#6:28]1:[#6H:29]:[#6H:30]:[#6:31](:[#6H:38]:[#6H:39]:1)-[#7:32]1-[#6H2:33]-[#6H2:34]-[#8:35]-[#6H2:36]-[#6H2:37]-1.[#6:6](=[#8:7])(-[#8H:22])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:42]:[#6H:41]:[#6H:40]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6:9]2:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18]):[#6H:19]:2)-[#6H:20](-[#6:21](=[#8:22])-[#7H:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27])-[#6:28]2:[#6H:29]:[#6H:30]:[#6:31](-[#7:32]3-[#6H2:33]-[#6H2:34]-[#8:35]-[#6H2:36]-[#6H2:37]-3):[#6H:38]:[#6H:39]:2):[#6H:40]:[#6H:41]:[#6H:42]:1,FC(F)(CO)F,1
ac-8-ace_al-20_nc-1_am-13,[#6-:21]#[#7+:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27].[#7H2]-[#6]1:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](:[#6H:19]:1)-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18].[#6H:20](=[#8])-[#6:28]1:[#6H:29]:[#6H:30]:[#6:31](:[#7:33]:[#6H:34]:1)-[#6H3:32].[#6:6](=[#8:7])(-[#8H:22])-[#6:5]1:[#6H:4]:[#6:3](-[#6:2]#[#6H:1]):[#6H:37]:[#6H:36]:[#6H:35]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6:5](-[#6:6](=[#8:7])-[#7:8](-[#6:9]2:[#6H:10]:[#6H:11]:[#6H:12]:[#6:13](-[#8:14]-[#6:15](-[#9:16])(-[#9:17])-[#9:18]):[#6H:19]:2)-[#6H:20](-[#6:21](=[#8:22])-[#7H:23]-[#6:24](-[#6H3:25])(-[#6H3:26])-[#6H3:27])-[#6:28]2:[#6H:29]:[#6H:30]:[#6:31](-[#6H3:32]):[#7:33]:[#6H:34]:2):[#6H:35]:[#6H:36]:[#6H:37]:1,FC(F)(CO)F,1
ac-13_al-11-ace_nc-1_am-13,[#6-:8]#[#7+:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14].[#7H2]-[#6]1:[#6H:25]:[#6H:26]:[#6H:27]:[#6:28](:[#6H:34]:1)-[#8:29]-[#6:30](-[#9:31])(-[#9:32])-[#9:33].[#6H:7](=[#8])-[#6:6]1:[#6H:5]:[#6H:4]:[#6:3](:[#6H:36]:[#6H:35]:1)-[#6:2]#[#6H:1].[#6:16](=[#8:17])(-[#8H:9])-[#6:18]1:[#6H:19]:[#8:20]:[#6:21](:[#7:23]:1)-[#6H3:22]>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6H:5]:[#6:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14])-[#7:15](-[#6:16](=[#8:17])-[#6:18]2:[#6H:19]:[#8:20]:[#6:21](-[#6H3:22]):[#7:23]:2)-[#6:24]2:[#6H:25]:[#6H:26]:[#6H:27]:[#6:28](-[#8:29]-[#6:30](-[#9:31])(-[#9:32])-[#9:33]):[#6H:34]:2):[#6H:35]:[#6H:36]:1,FC(F)(CO)F,0
ac-14_al-11-ace_nc-1_am-13,[#6-:8]#[#7+:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14].[#7H2]-[#6]1:[#6H:25]:[#6H:26]:[#6H:27]:[#6:28](:[#6H:34]:1)-[#8:29]-[#6:30](-[#9:31])(-[#9:32])-[#9:33].[#6H:7](=[#8])-[#6:6]1:[#6H:5]:[#6H:4]:[#6:3](:[#6H:36]:[#6H:35]:1)-[#6:2]#[#6H:1].[#6:16](=[#8:17])(-[#8H:9])-[#6:18]1:[#6:19](-[#6H3:20]):[#8:21]:[#6H:22]:[#6H:23]:1>>[#6H:1]#[#6:2]-[#6:3]1:[#6H:4]:[#6H:5]:[#6:6](-[#6H:7](-[#6:8](=[#8:9])-[#7H:10]-[#6:11](-[#6H3:12])(-[#6H3:13])-[#6H3:14])-[#7:15](-[#6:16](=[#8:17])-[#6:18]2:[#6:19](-[#6H3:20]):[#8:21]:[#6H:22]:[#6H:23]:2)-[#6:24]2:[#6H:25]:[#6H:26]:[#6H:27]:[#6:28](-[#8:29]-[#6:30](-[#9:31])(-[#9:32])-[#9:33]):[#6H:34]:2):[#6H:35]:[#6H:36]:1,FC(F)(CO)F,0
