exp_id,ugi_smiles,precipitate
ac-9-ace_al-6_nc-1_am-13,C#CC1=CC=C(C(=O)N(C2=CC=CC(OC(F)(F)F)=C2)C(C(=O)NC(C)(C)C)C(F)(F)F)C=C1,0
ac-9-ace_al-15_nc-1_am-13,C#CC1=CC=C(C(=O)N(C2=CC=CC(OC(F)(F)F)=C2)C(C(=O)NC(C)(C)C)C2=CC=CC=C2OC(F)(F)F)C=C1,0
ac-9-ace_al-16_nc-1_am-13,C#CC1=CC=C(C(=O)N(C2=CC=CC(OC(F)(F)F)=C2)C(C(=O)NC(C)(C)C)C2=CC=C(CC)C=C2)C=C1,0
ac-9-ace_al-17_nc-1_am-13,C#CC1=CC=C(C(=O)N(C2=CC=CC(OC(F)(F)F)=C2)C(C(=O)NC(C)(C)C)C(C)CC)C=C1,1
ac-9-ace_al-18_nc-1_am-13,C#CC1=CC=C(C(=O)N(C2=CC=CC(OC(F)(F)F)=C2)C(C(=O)NC(C)(C)C)C2=CC=C(N3CCOCC3)C=C2)C=C1,1
ac-9-ace_al-20_nc-1_am-13,C#CC1=CC=C(C(=O)N(C2=CC=CC(OC(F)(F)F)=C2)C(C(=O)NC(C)(C)C)C2=CC=C(C)N=C2)C=C1,1
ac-15_al-6_nc-1_am-10-ace,C#CCN(C(=O)C1=CNC(=O)C=C1)C(C(=O)NC(C)(C)C)C(F)(F)F,0
ac-15_al-15_nc-1_am-10-ace,C#CCN(C(=O)C1=CNC(=O)C=C1)C(C(=O)NC(C)(C)C)C1=CC=CC=C1OC(F)(F)F,1
ac-15_al-16_nc-1_am-10-ace,C#CCN(C(=O)C1=CNC(=O)C=C1)C(C(=O)NC(C)(C)C)C1=CC=C(CC)C=C1,1
ac-15_al-17_nc-1_am-10-ace,C#CCN(C(=O)C1=CNC(=O)C=C1)C(C(=O)NC(C)(C)C)C(C)CC,1
ac-15_al-18_nc-1_am-10-ace,C#CCN(C(=O)C1=CNC(=O)C=C1)C(C(=O)NC(C)(C)C)C1=CC=C(N2CCOCC2)C=C1,1
ac-15_al-20_nc-1_am-10-ace,C#CCN(C(=O)C1=CNC(=O)C=C1)C(C(=O)NC(C)(C)C)C1=CC=C(C)N=C1,1
ac-9-ace_al-6_nc-1_am-14,C#CC1=CC=C(C(=O)N(C2CCC2)C(C(=O)NC(C)(C)C)C(F)(F)F)C=C1,0
ac-9-ace_al-15_nc-1_am-14,C#CC1=CC=C(C(=O)N(C2CCC2)C(C(=O)NC(C)(C)C)C2=CC=CC=C2OC(F)(F)F)C=C1,1
ac-9-ace_al-16_nc-1_am-14,C#CC1=CC=C(C(=O)N(C2CCC2)C(C(=O)NC(C)(C)C)C2=CC=C(CC)C=C2)C=C1,1
ac-9-ace_al-17_nc-1_am-14,C#CC1=CC=C(C(=O)N(C2CCC2)C(C(=O)NC(C)(C)C)C(C)CC)C=C1,0
ac-9-ace_al-18_nc-1_am-14,C#CC1=CC=C(C(=O)N(C2CCC2)C(C(=O)NC(C)(C)C)C2=CC=C(N3CCOCC3)C=C2)C=C1,0
ac-9-ace_al-20_nc-1_am-14,C#CC1=CC=C(C(=O)N(C2CCC2)C(C(=O)NC(C)(C)C)C2=CC=C(C)N=C2)C=C1,1
ac-17_al-6_nc-1_am-10-ace,C#CCN(C(=O)C1=CN2C=CN=CC2=N1)C(C(=O)NC(C)(C)C)C(F)(F)F,1
ac-17_al-15_nc-1_am-10-ace,C#CCN(C(=O)C1=CN2C=CN=CC2=N1)C(C(=O)NC(C)(C)C)C1=CC=CC=C1OC(F)(F)F,1
ac-17_al-16_nc-1_am-10-ace,C#CCN(C(=O)C1=CN2C=CN=CC2=N1)C(C(=O)NC(C)(C)C)C1=CC=C(CC)C=C1,1
ac-17_al-17_nc-1_am-10-ace,C#CCN(C(=O)C1=CN2C=CN=CC2=N1)C(C(=O)NC(C)(C)C)C(C)CC,1
ac-17_al-18_nc-1_am-10-ace,C#CCN(C(=O)C1=CN2C=CN=CC2=N1)C(C(=O)NC(C)(C)C)C1=CC=C(N2CCOCC2)C=C1,1
ac-17_al-20_nc-1_am-10-ace,C#CCN(C(=O)C1=CN2C=CN=CC2=N1)C(C(=O)NC(C)(C)C)C1=CC=C(C)N=C1,1
ac-9-ace_al-6_nc-1_am-17,C#CC1=CC=C(C(=O)N(C2=CN=CC3=CC=CC=C23)C(C(=O)NC(C)(C)C)C(F)(F)F)C=C1,0
ac-9-ace_al-15_nc-1_am-17,C#CC1=CC=C(C(=O)N(C2=CN=CC3=CC=CC=C23)C(C(=O)NC(C)(C)C)C2=CC=CC=C2OC(F)(F)F)C=C1,1
ac-9-ace_al-16_nc-1_am-17,C#CC1=CC=C(C(=O)N(C2=CN=CC3=CC=CC=C23)C(C(=O)NC(C)(C)C)C2=CC=C(CC)C=C2)C=C1,1
ac-9-ace_al-17_nc-1_am-17,C#CC1=CC=C(C(=O)N(C2=CN=CC3=CC=CC=C23)C(C(=O)NC(C)(C)C)C(C)CC)C=C1,0
ac-9-ace_al-18_nc-1_am-17,C#CC1=CC=C(C(=O)N(C2=CN=CC3=CC=CC=C23)C(C(=O)NC(C)(C)C)C2=CC=C(N3CCOCC3)C=C2)C=C1,0
ac-9-ace_al-20_nc-1_am-17,C#CC1=CC=C(C(=O)N(C2=CN=CC3=CC=CC=C23)C(C(=O)NC(C)(C)C)C2=CC=C(C)N=C2)C=C1,0
ac-18_al-6_nc-1_am-10-ace,C#CCN(C(=O)C1=NC=C(C)N=C1)C(C(=O)NC(C)(C)C)C(F)(F)F,0
ac-18_al-15_nc-1_am-10-ace,C#CCN(C(=O)C1=NC=C(C)N=C1)C(C(=O)NC(C)(C)C)C1=CC=CC=C1OC(F)(F)F,1
ac-18_al-16_nc-1_am-10-ace,C#CCN(C(=O)C1=NC=C(C)N=C1)C(C(=O)NC(C)(C)C)C1=CC=C(CC)C=C1,1
ac-18_al-17_nc-1_am-10-ace,C#CCN(C(=O)C1=NC=C(C)N=C1)C(C(=O)NC(C)(C)C)C(C)CC,0
ac-18_al-18_nc-1_am-10-ace,C#CCN(C(=O)C1=NC=C(C)N=C1)C(C(=O)NC(C)(C)C)C1=CC=C(N2CCOCC2)C=C1,1
ac-18_al-20_nc-1_am-10-ace,C#CCN(C(=O)C1=NC=C(C)N=C1)C(C(=O)NC(C)(C)C)C1=CC=C(C)N=C1,0
