idx,smiles,count
bide-uc-1551,Cc1cc(F)c(C(=O)O)cc1F,7
bide-uc-427,O=C(O)c1ccc(F)c(Cl)c1,7
bide-uc-1760,O=C(O)Cc1c(F)ccc(F)c1F,7
bide-uc-612,O=C(O)Cc1cc(F)c(F)cc1F,7
bide-uc-5419,O=C(O)c1c(Br)cc(F)c(F)c1F,7
bide-uc-3979,O=C(O)Cc1cc(F)cc(F)c1F,7
bide-uc-493,O=C(O)c1cc(F)cc(Br)c1,7
bide-uc-3114,O=C(O)[C@H]1COCCN1,7
bide-uc-2842,CC(C(=O)O)c1ccc(F)cc1,7
bide-uc-91,O=C(O)c1cccc(F)c1,7
bide-uc-1676,Cc1ccc(F)c(C(=O)O)c1F,7
bide-uc-211,O=C(O)c1cc(F)cc(F)c1,7
bide-uc-81,C[C@@H](O)C(=O)O,6
bide-uc-30,COc1ccccc1C(=O)O,6
bide-uc-647,Cc1cc(Br)ccc1C(=O)O,6
bide-uc-245,O=C(O)c1ccc(F)cc1Cl,6
bide-uc-4155,C/C=C(/C)C(=O)O,6
bide-uc-917,Cc1ccc(Br)c(C(=O)O)c1,6
bide-uc-3351,O=C(O)[C@@H]1C[C@H](F)CN1,6
bide-uc-1857,O=C(O)C1CCNC1,6
bide-uc-164,O=C(O)c1c(F)cccc1Cl,6
bide-uc-74,CCCC(=O)[O-],6
bide-uc-2524,O=C(O)C(O)c1cccc(F)c1,6
bide-uc-1040,O=C(O)c1ccc(Br)cc1Br,6
bide-uc-19,Cc1ccccc1C(=O)O,6
bide-uc-3240,O=C([O-])C(F)Cl,6
bide-uc-842,O=C(O)c1ccc(F)cc1O,6
bide-uc-979,COc1cccc(F)c1C(=O)O,6
bide-uc-1164,C[C@@H](Br)C(=O)O,6
bide-uc-382,O=C(O)c1ccc(Cl)cc1F,6
bide-uc-1218,COc1cccc(C(=O)O)c1F,6
bide-uc-113,O=C([O-])C(F)(F)F,6
bide-uc-1509,O=C(O)c1cc(F)c(Cl)c(F)c1,6
bide-uc-1456,Cc1c(C(=O)O)ccc(F)c1F,6
bide-uc-3540,CC[C@H](C)C(=O)O,6
bide-uc-588,C/C=C(\C)C(=O)O,6
bide-uc-5321,Cc1cc(C(=O)O)cc(F)c1F,6
bide-uc-4323,O=C(O)c1ccc(F)c(F)c1Cl,6
bide-uc-457,O=C(O)c1cc(F)c(F)cc1F,6
bide-uc-1019,O=C(O)c1cc(Br)ccc1Br,6
