idx,smiles,count
bide-uc-2042,O=Cc1cc(F)cc(F)c1Br,10
bide-uc-5075,O=Cc1ccc(Cl)c(Cl)c1F,10
bide-uc-5350,COc1c(Br)ccc(F)c1C=O,10
bide-uc-660,O=Cc1ccc(F)c(Br)c1,10
bide-uc-791,O=Cc1ccc(Cl)cc1F,10
bide-uc-1198,O=Cc1cc(Br)c(F)cc1F,10
bide-uc-3726,COc1cc(C=O)c(Br)cc1F,9
bide-uc-1126,O=Cc1ccc(O)cc1F,9
bide-uc-1016,O=C[c-]1cccc1,9
bide-uc-3367,COc1ccc(Cl)c(C=O)c1F,9
bide-uc-2854,O=Cc1cc(O)cc(F)c1,9
bide-uc-39,O=Cc1ccc(F)cc1,9
bide-uc-5136,Cc1cc(C)c(O)c(C=O)c1,9
bide-uc-3299,O=CCc1ccc(Br)cc1,9
bide-uc-3190,Cc1cccc(C=O)c1Br,9
bide-uc-617,O=Cc1ccc(F)c(Cl)c1,9
bide-uc-5172,O=CCc1ccc(Cl)cc1,9
bide-uc-935,O=Cc1ccc(Br)c(F)c1,9
bide-uc-1289,COc1cc(C=O)ccc1Cl,9
bide-uc-856,COc1ccc(C=O)cc1F,9
bide-uc-1665,O=Cc1cc(F)cc(Cl)c1,9
bide-uc-2536,Cc1cc(Br)c(C=O)cc1F,9
bide-uc-799,O=Cc1ccc(Cl)c(F)c1,9
bide-uc-5027,O=CCc1cccc(Cl)c1,9
bide-uc-1620,Cc1ccc(C=O)c(O)c1,9
bide-uc-5062,O=Cc1c(Br)cc(F)c(F)c1F,9
bide-uc-3526,COc1c(F)ccc(F)c1C=O,9
bide-uc-1625,COc1cc(F)ccc1C=O,9
bide-uc-1175,CCc1ccccc1C=O,8
bide-uc-1939,COc1c(Cl)cccc1C=O,8
bide-uc-2120,O=Cc1cc(F)c(Cl)cc1F,8
bide-uc-1094,Cc1cc(Br)ccc1C=O,8
bide-uc-630,O=Cc1cc(F)ccc1Br,8
bide-uc-1536,O=Cc1ccc(F)c(Cl)c1F,8
bide-uc-1292,COc1cc(F)c(C=O)c(F)c1,8
bide-uc-3773,COc1cccc(C=O)c1C,8
bide-uc-2029,O=Cc1cc(F)c(F)cc1Br,8
bide-uc-303,O=Cc1ccc(F)cc1Cl,8
bide-uc-47,Cc1ccc(C=O)cc1,8
bide-uc-1736,COc1cccc(C=O)c1F,8
bide-uc-3969,Cc1c(F)cc(C=O)cc1Br,8
bide-uc-2721,O=Cc1cc(Br)cc(F)c1F,8
bide-uc-1051,Cc1cc(C=O)ccc1Br,7
bide-uc-3033,O=Cc1c(F)c(F)c(Br)c(F)c1F,7
bide-uc-4570,CC1(C=O)CCOCC1,7
bide-uc-2055,COc1cccc(O)c1C=O,7
bide-uc-2861,Cc1cc(C=O)ccc1Cl,7
bide-uc-2266,Cc1ccc(Br)c(C=O)c1,7
bide-uc-4422,O=Cc1ccc(F)c(F)c1O,7
bide-uc-4461,Cc1cc(C=O)c(F)cc1Br,7
bide-uc-1084,O=Cc1cc(Cl)ccc1Cl,7
bide-uc-1049,Cc1cccc(C=O)c1C,7
bide-uc-836,O=Cc1cc(Br)ccc1Cl,7
bide-uc-2549,O=Cc1cccc(Cl)c1Br,7
bide-uc-5285,O=Cc1cc(F)c(F)c(Cl)c1F,7
bide-uc-2398,Cc1cc(Br)cc(C=O)c1O,7
bide-uc-454,O=Cc1cc(Cl)cc(Cl)c1,7
bide-uc-1268,O=Cc1cccc(Cl)c1O,7
bide-uc-3337,COc1c(Cl)cc(C=O)cc1Cl,7
bide-uc-2285,COc1cc(Cl)ccc1C=O,7
bide-uc-1881,Cc1c(C=O)cccc1C(F)(F)F,7
bide-uc-1210,O=Cc1ccc(O)c(F)c1,7
bide-uc-2895,Cc1cc(F)c(C=O)cc1Br,7
bide-uc-3938,COc1cc(C(F)(F)F)ccc1C=O,7
bide-uc-4891,Cc1cc(C=O)c(C)cc1Br,7
bide-uc-5064,O=CC1CCC(F)(F)CC1,7
bide-uc-188,O=Cc1ccccc1C(F)(F)F,7
bide-uc-2581,O=Cc1ccc(Br)c(F)c1F,7
bide-uc-251,Cc1cccc(C=O)c1,7
bide-uc-3755,O=Cc1cc(F)c(Cl)c(F)c1,7
bide-uc-2443,Cc1cc(C=O)c(C)cc1O,7
bide-uc-5187,Cc1cc(C)c(CO)c(C)c1C=O,7
bide-uc-4779,O=Cc1c(F)ccc(F)c1O,7
bide-uc-2648,COc1c(F)cc(C=O)cc1F,7
