idx,smiles,count
bide-uc-816,Nc1ccc(Cl)c(F)c1,5
bide-uc-2311,Nc1cc(F)c(Cl)cc1F,5
bide-uc-1379,NCc1ccc(F)c(Br)c1,5
bide-uc-2338,Cc1cc(F)ccc1CN,5
bide-uc-1000,NCc1cccc(Cl)c1,5
bide-uc-1870,N[C@H]1CCNC1,5
bide-uc-3714,NCC(=O)NC1CC1,5
bide-uc-428,CCC(N)CC,5
bide-uc-1550,COc1c(N)cccc1F,5
bide-uc-3212,CC(C)(N)c1ccc(Br)cc1,5
bide-uc-2171,Nc1c(F)ccc(Br)c1F,5
bide-uc-1028,Nc1cccc(Br)c1F,5
bide-uc-1486,Nc1ccc(F)c(F)c1Br,5
bide-uc-4527,Cc1cc(Br)cc(F)c1N,5
bide-uc-743,COc1ccc(F)cc1N,5
bide-uc-2904,NCc1cc(F)c(F)c(F)c1,5
bide-uc-1445,Nc1cc(F)c(Cl)cc1Cl,5
bide-uc-2855,Cc1cc(F)c(N)cc1F,5
bide-uc-1194,C[C@H](N)c1ccc(F)cc1,5
bide-uc-1823,NC1COC1,5
bide-uc-330,Nc1cc(F)ccc1F,5
bide-uc-5367,N[C@@H]1C[C@H]1c1ccc(F)cc1,5
bide-uc-71,C[C@H](N)c1ccccc1,5
bide-uc-1098,CNCCN,5
bide-uc-530,NCCc1ccccc1F,5
bide-uc-5232,CC[C@H](N)c1ccccc1F,5
bide-uc-4117,C[C@@H](N)c1ccc(F)c(F)c1,5
bide-uc-3440,NCc1c(F)ccc(Cl)c1F,5
bide-uc-61,Nc1ccc(Br)cc1F,5
bide-uc-196,NCC(F)F,5
bide-uc-770,Nc1cc(F)c(Br)c(F)c1,5
bide-uc-3102,NCC(O)C(F)(F)F,5
bide-uc-4898,C[C@@H](N)c1ccc(F)c(Cl)c1,5
bide-uc-3044,CC(N)c1cccc(F)c1,5
bide-uc-1585,Cc1ccc(C)c(CN)c1,5
bide-uc-48,CN(C)CCN,5
bide-uc-5037,CN(C)C(=O)[C@@H](N)c1ccccc1,5
bide-uc-1432,NCc1cccc(Cl)c1F,5
bide-uc-1525,COc1cccc(OC)c1N,5
bide-uc-3062,Cc1cc(N)c(F)cc1Cl,5
bide-uc-1204,COc1ccc(N)c(F)c1,5
bide-uc-662,Cc1ccc(N)c(F)c1,5
bide-uc-4964,COc1cc(F)c(Cl)cc1N,5
bide-uc-2313,COc1cc(N)cc(F)c1,5
bide-uc-4104,NC[C@@H]1CCO1,5
bide-uc-1129,Nc1c(F)cc(Cl)cc1F,5
bide-uc-536,Nc1cc(Br)ccc1F,5
bide-uc-3564,C[C@@H](N)C1CC1,5
bide-uc-579,Cc1ccccc1N,5
bide-uc-4056,NCc1c(F)cc(Br)cc1F,5
bide-uc-3495,Cc1ccc(CN)c(C)c1,5
bide-uc-1898,COc1cc(Cl)ccc1N,5
bide-uc-1124,Cc1cc(CN)ccc1F,5
bide-uc-561,NC1CCNC1,5
bide-uc-5039,NCc1c(F)cccc1Br,5
bide-uc-1979,NCc1c(F)cc(F)cc1F,5
bide-uc-5157,Nc1c(F)ccc2c1OCO2,5
bide-uc-556,CC(C)CN,5
bide-uc-3015,Nc1c(F)ccc(Cl)c1F,5
bide-uc-4752,Cc1ccccc1[C@@H](C)N,5
bide-uc-439,Nc1cc(Cl)ccc1F,5
bide-uc-609,NCc1ccc(F)cc1F,5
bide-uc-521,NCCc1ccc(F)cc1,5
bide-uc-2637,Cc1ccccc1C(C)N,5
bide-uc-2215,COc1cccc(F)c1CN,5
